Variant SKU,Body (HTML)
SIR1-CREPES-W-O-MOULD,"<ul>
<li>CREPIERA TONDA CERAMICATA</li>
<li>Structure in stainless steel.</li>
<li>Simple and compact shape.</li>
<li>Overall dimensions is the work surface.</li>
<li>Cooking surface in ceramic cast iron for perfect thermal distribution and easy cleaning.</li>
<li>Thermostat control.</li>
<li>Shock-proof coated heating elements.</li>
<li>Adjustable feet for a safe and steady placing.</li>
<li>Available with smooth surface or with mould.</li>
</ul>
"
VRM1-AR5-M005-8001Z,"<ul><li>Professional 5-liter countertop mixer in white finish for daily kitchen tasks</li><li>Smart Danish design focusing on ergonomics, hygiene, and easy cleaning</li><li>Powerful specially designed motor for handling heavy ingredients at low speeds</li><li>Precision cast aluminum construction with rounded edges for easy cleaning</li><li>Single control knob accessible from both sides for ambidextrous operation</li><li>Wide footprint with suction cups for enhanced stability during operation</li><li>Low-noise operation with premium quality sound like an expensive car</li><li>Infinitely adjustable speed control for precise mixing applications</li><li>Effective bowl retention system with single lever operation</li><li>Ideal for bakeries, kitchens, and laboratories with space constraints</li></ul><p><br></p><p><br></p><p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p><ul><li>CAPACITY: 5 liters</li><li>MOTOR: 0.4 HP (300W)</li><li>VOLTAGE: 230V/50Hz</li><li>SPEED RANGE: Variable from 100-400 RPM</li><li>CONSTRUCTION: Precision cast aluminum</li><li>INCLUDED ACCESSORIES: Stainless steel bowl with lid, wire whip, beater, hook</li><li>ADDITIONAL FEATURES: Splash guard, filling chute</li><li>TECHNOLOGY: Frequency inverter and 3-phase motor</li><li>POWER EFFICIENCY: Maintains 95% of power from outlet to mix</li><li>DIMENSIONS: Compact countertop design</li><li>PARTS WARRANTY: 1 Year</li><li>SERVICE WARRANTY: 1 Year</li><li>MADE IN: Denmark</li><li>CERTIFICATION: CE, NSF</li></ul>"
VRM1-AR5-M005-8003Z,"<ul><li>Professional 5-liter countertop mixer in sleek black finish</li><li>Smart Danish design focusing on ergonomics, hygiene, and easy cleaning</li><li>Powerful specially designed motor for handling heavy ingredients at low speeds</li><li>Precision cast aluminum construction with rounded edges for easy cleaning</li><li>Single control knob accessible from both sides for ambidextrous operation</li><li>Wide footprint with suction cups for enhanced stability during operation</li><li>Low-noise operation with premium quality sound like an expensive car</li><li>Infinitely adjustable speed control for precise mixing applications</li><li>Effective bowl retention system with single lever operation</li><li>Ideal for bakeries, kitchens, and laboratories with space constraints</li></ul><p><br></p><p><br></p><p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p><ul><li>CAPACITY: 5 liters</li><li>MOTOR: 0.4 HP (300W)</li><li>VOLTAGE: 230V/50Hz</li><li>SPEED RANGE: Variable from 100-400 RPM</li><li>CONSTRUCTION: Precision cast aluminum with black finish</li><li>INCLUDED ACCESSORIES: Stainless steel bowl with lid, wire whip, beater, hook</li><li>ADDITIONAL FEATURES: Splash guard, filling chute</li><li>TECHNOLOGY: Frequency inverter and 3-phase motor</li><li>POWER EFFICIENCY: Maintains 95% of power from outlet to mix</li><li>DIMENSIONS: Compact countertop design</li><li>PARTS WARRANTY: 1 Year</li><li>SERVICE WARRANTY: 1 Year</li><li>MADE IN: Denmark</li><li>CERTIFICATION: CE, NSF</li></ul>"
VRM1-AR5-M005-8005Z,"<ul><li>Professional 5-liter countertop mixer in elegant silver finish</li><li>Smart Danish design focusing on ergonomics, hygiene, and easy cleaning</li><li>Powerful specially designed motor for handling heavy ingredients at low speeds</li><li>Precision cast aluminum construction with rounded edges for easy cleaning</li><li>Single control knob accessible from both sides for ambidextrous operation</li><li>Wide footprint with suction cups for enhanced stability during operation</li><li>Low-noise operation with premium quality sound like an expensive car</li><li>Infinitely adjustable speed control for precise mixing applications</li><li>Effective bowl retention system with single lever operation</li><li>Ideal for bakeries, kitchens, and laboratories with space constraints</li></ul><p><br></p><p><br></p><p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p><ul><li>CAPACITY: 5 liters</li><li>MOTOR: 0.4 HP (300W)</li><li>VOLTAGE: 230V/50Hz</li><li>SPEED RANGE: Variable from 100-400 RPM</li><li>CONSTRUCTION: Precision cast aluminum with silver finish</li><li>INCLUDED ACCESSORIES: Stainless steel bowl with lid, wire whip, beater, hook</li><li>ADDITIONAL FEATURES: Splash guard, filling chute</li><li>TECHNOLOGY: Frequency inverter and 3-phase motor</li><li>POWER EFFICIENCY: Maintains 95% of power from outlet to mix</li><li>DIMENSIONS: Compact countertop design</li><li>PARTS WARRANTY: 1 Year</li><li>SERVICE WARRANTY: 1 Year</li><li>MADE IN: Denmark</li><li>CERTIFICATION: CE, NSF</li></ul>"
VRM1-AR5-M005-8006Z,"<ul><li>Professional 5-liter countertop mixer in vibrant red finish</li><li>Smart Danish design focusing on ergonomics, hygiene, and easy cleaning</li><li>Powerful specially designed motor for handling heavy ingredients at low speeds</li><li>Precision cast aluminum construction with rounded edges for easy cleaning</li><li>Single control knob accessible from both sides for ambidextrous operation</li><li>Wide footprint with suction cups for enhanced stability during operation</li><li>Low-noise operation with premium quality sound like an expensive car</li><li>Infinitely adjustable speed control for precise mixing applications</li><li>Effective bowl retention system with single lever operation</li><li>Ideal for bakeries, kitchens, and laboratories with space constraints</li></ul><p><br></p><p><br></p><p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p><ul><li>CAPACITY: 5 liters</li><li>MOTOR: 0.4 HP (300W)</li><li>VOLTAGE: 230V/50Hz</li><li>SPEED RANGE: Variable from 100-400 RPM</li><li>CONSTRUCTION: Precision cast aluminum with red finish</li><li>INCLUDED ACCESSORIES: Stainless steel bowl with lid, wire whip, beater, hook</li><li>ADDITIONAL FEATURES: Splash guard, filling chute</li><li>TECHNOLOGY: Frequency inverter and 3-phase motor</li><li>POWER EFFICIENCY: Maintains 95% of power from outlet to mix</li><li>DIMENSIONS: Compact countertop design</li><li>PARTS WARRANTY: 1 Year</li><li>SERVICE WARRANTY: 1 Year</li><li>MADE IN: Denmark</li><li>CERTIFICATION: CE, NSF</li></ul>"
VRM1-AR60-M060-0073,"<li>Industrial food mixer with white powder coated finish and manual controls</li>
<li>Large 60-liter capacity for high-volume commercial food production</li>
<li>Manual speed regulation and bowl lowering system (VL-1 control panel)</li>
<li>Magnetic removable safety guard with CE certification for optimal safety</li>
<li>Variable speed belt-driven system eliminates risk of oil contamination</li>
<li>Powerful 1,850W motor for handling large quantities of heavy ingredients</li>
<li>Digital timer with auto-stop and audible alert when mixing is complete</li>
<li>Automatic bowl fixation system with single-movement locking mechanism</li>
<li>Stainless steel vertical leg parts for extra protection against rust</li>
<li>Compatible with optional tools and bowls for half-volume production</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p>
<li>VOLUME: 60 liters</li>
<li>EFFECT: 1,850 W</li>
<li>VOLTAGE: 400V, 3 ph, 50 Hz with 0 and ground</li>
<li>DIMENSIONS: 1413 x 648 x 1028 mm (H x W x L)</li>
<li>NET WEIGHT: 275 kg</li>
<li>VARIABLE SPEED: 53-288 RPM</li>
<li>INCLUDED TOOLS: 60L bowl, beater, hook, whip in stainless steel</li>
<li>EGG WHITE CAPACITY: 9.0 L</li>
<li>WHIPPED CREAM CAPACITY: 15 L</li>
<li>BREAD DOUGH CAPACITY (50% AR): 34 kg</li>
<li>PARTS WARRANTY: 1 Year</li>
<li>SERVICE WARRANTY: 1 Year</li>
<li>MADE IN: Denmark</li>
<li>CERTIFICATION: CE</li>"
SIR1-ALISEO-2-3,"<ul>
<li>ALISEO 2/3</li>
<li>Stainless steel construction including chamber.</li>
<li>Distance between shelves cm 8.</li>
<li>Seamless, round-cornered and easy to clean chamber to prevent contamination.</li>
<li>Double glass stainless steel door.</li>
<li>Effective 2 lamp chamber lighting.</li>
<li>Thermostatically controlled temperature from 25°C to 300°C (77°F to 572°F).</li>
<li>Choice of 0’ to 120’ programmable timer or continuous operation.</li>
</ul>
"
SIR1-ALISEO-4,"<ul><li><strong>ALISEO 4</strong></li><li>Stainless steel construction including chamber</li><li>Comes with 4 removable racks for easy cleaning</li><li>Distance between shelves 8 cm</li><li>Seamless, round-cornered and easy to clean chamber to prevent contamination</li><li>Double glass stainless steel door</li><li>Effective 2 lamp chamber lighting</li><li>Heat-distribution with double-fan</li><li>Thermostatically controlled temperature from 25&deg;C to 300&deg;C (77&deg;F to 572&deg;F)</li><li>Choice of 0&#39; to 120&#39; programmable timer or continuous operation</li></ul>"
SIR1-STROMBOLI-2,"<ul>
<li><strong>STROMBOLI</strong></li>
<li>Made of black coated stainless steel</li>
<li>Baking chamber with refractory stone</li>
<li>Armoured elements</li>
<li>Fibreglass insulation</li>
<li>Separate thermostats for the top and the bottom area of each chamber</li>
<li>Model ""2"" with 2 independent baking chambers</li>
</ul>
"
SIR1-VULCANO-2C-3PH,<ul><li>VULCANO 2</li><li>Made of black coated stainless steel.</li><li>Baking chamber with refractory stone.</li><li>Armoured elements.</li><li>Fibreglass insulation.</li><li>Separate thermostats for the top and the bottom area of each chamber.</li><li>Model &quot;2&quot; with 2 independent baking chambers.</li></ul>
PIM1-CCGSS-2W,"<li>Professional Chinese wok gas range engineered specifically for authentic Asian cuisine preparation in commercial kitchens and restaurants</li>
<li>Dual wok burner configuration provides high-heat cooking capability essential for traditional stir-frying and wok cooking techniques</li>
<li>Integrated blower system enhances flame intensity and heat distribution for optimal wok hei flavor development</li>
<li>Heavy-duty construction withstands intensive daily use in high-volume Asian restaurants and commercial kitchen environments</li>
<li>High-BTU gas burners deliver intense heat required for rapid cooking and authentic Chinese cooking methods</li>
<li>Stainless steel construction ensures durability, easy cleaning, and compliance with commercial food service standards</li>
<li>Adjustable flame controls provide precise heat management for various cooking techniques from gentle simmering to high-heat searing</li>
<li>Professional installation requirements with proper ventilation and gas connections for safe commercial operation</li>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p>
<li>Burner Configuration: Dual wok burners with specialized flame patterns</li>
<li>Heat Output: High-BTU gas burners for intensive cooking applications</li>
<li>Blower System: Integrated forced air system for enhanced flame performance</li>
<li>Construction: Commercial-grade stainless steel frame and components</li>
<li>Fuel Type: Natural gas or liquid propane compatible (field convertible)</li>
<li>Control System: Individual flame adjustment controls for each burner</li>
<li>Safety Features: Flame failure safety devices and emergency shutoff</li>
<li>Installation: Professional gas connection and ventilation requirements</li>
<li>Dimensions: Commercial kitchen standard sizing</li>
<li>Maintenance: Accessible components for cleaning and service</li>"
MBM1-MG7GFTA777L,"<li>Gas fry top from the Magistra 700 series with smooth cooking plate</li>
<li>Installed on open stand for professional kitchen operations</li>
<li>Smooth plate ensures even heat distribution, ideal for frying and grilling</li>
<li>AISI 304 stainless steel worktop, 1 mm thick, provides durability</li>
<li>3 mm thick AISI 304 stainless steel backsplash welded to the cooking surface for easy cleaning</li>
<li>15 mm thick cooking plate with slight tilt allows grease to drain into removable tray</li>
<li>Removable stainless steel grease tray with capacity up to 2 liters</li>
<li>Stainless steel gas burners with thermostat control and thermocouple safety system</li>
<li>Ideal for restaurants, hotels, and professional food service kitchens</li>

<p style=""margin-top: 26px;margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Product Code: MBM1-MG7GFTA777L</li>
<li>Product Type: Fry Top</li>
<li>Series: Magistra 700</li>
<li>Power Type: Gas</li>
<li>Plate Type: Smooth plate</li>
<li>Installation: Open stand</li>
<li>Number of Burners: 2</li>
<li>Burner Power: 5.5 kW each</li>
<li>Total Power: 11 kW</li>
<li>External Dimensions (W × D × H): 70 × 70 × 85 cm</li>
<li>Weight: 97 kg</li>
<li>Volume: 0.8 m³</li>
"
