sku,GID,descriptionHtml,specs.width_mm,specs.length_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.wattage,specs.cooking_surface_mm,specs.energy_type,specs.construction,specs.usage_time,specs.temperature,specs.safety_features,specs.special_features,specs.accessories,specs.performance_rate,specs.service_warranty,specs.spareparts_warranty,specs.made_in,specs.certificates
ROL1-CT3000,gid://shopify/Product/8645877203143,"<p>The CT 3000 infrared conveyor oven: the champion of the cooking of snacks! The CT 3000 infrared conveyor oven is equipped with 2 ramps of 4 infrared quartz tubes. These infrared quartz spread rays of 1050 ° C on the products. They ensure a quick and fast cooking of the products of your snacks.</p><p>This infrared conveyor oven can cook with no preheating and continuously in record time: the cooking time is 1 minute and 30 seconds on average!</p><p>The infrared quartz on the upper part is protected by a patented tube cover.</p><p>The CT 3000 quartz grill is extremely flexible in use and maintenance! Thanks to its 3 settings, the CT 3000 quartz grill fits all cooking modes and snacks:</p><ul><li>The speed of rotation of the belt is regulated according to the product to cook or to reheat. The minimum time of pass through is 47 seconds. The maximum time of pass through is 2 minutes and 30 seconds.</li><li>The 2 quartz ramps can operate at full power or at half power</li><li>The pass through height can be adjusted between 70 and 110 mm thanks to the stainless reflectors to concentrate the temperature in the cooking chamber and reduce the cooking time.</li></ul><p>Very compact, this conveyor toaster is stackable and can be raised thanks to a stainless steel support table (475 x 360 x 300 mm). The control box can be offset on a wall or on a worktop thanks to 1-meter-long-cord.</p><p>The top roof keeps warm breads or pastries.</p><p>Every kind of snack cooking is possible with the CT 3000 B infrared conveyor toaster! Thanks to its different settings, the CT 3000 B infrared quartz grill allows you to vary and multiply cooking unattended. In a single pass, this conveyor toaster enables you:</p><ul><li>to toast buns, rolls in 50 seconds,</li><li>to cook pizzas or quiches (precooked and fresh garnish) in less than 2 minutes depending on the filling,</li><li>to brown onion soups, cheese-based snacks in 1 minute,</li><li>to cook toast, bruschetta, sandwiches in less than 2 minutes according to the ""topping"",</li><li>to melt fondues or warm up croissants, pastries in 50 seconds!</li></ul><p>The maintenance of the conveyor oven is very simple. The carpet is cleaned with a brush. The roof as well as the 2 sliding waste bins placed at the entrance and exit under the belt are completely removable.</p>",470,720,385,22 kg,3 kW,230V,300x370,Electric,Stainless steel,Variable,1050°C,Protection grids,Height adjustable,Optional table,Variable,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CT3000-B,gid://shopify/Product/8645499027655,"<p>The CT 3000 B infrared conveyor oven: the champion of the cooking of snacks!</p><p>The CT 3000 B infrared conveyor oven is equipped with 2 ramps of 4 infrared quartz tubes. These infrared quartz spread rays of 1050 ° C on the products. They ensure a quick and fast cooking of the products of your snacks.</p><p>This infrared conveyor oven can cook with no preheating and continuously in record time: the cooking time is 1 minute and 30 seconds on average!</p><p>The infrared quartz on the upper part is protected by a patented tube cover.</p><p>The CT 3000 B quartz grill is extremely flexible in use and maintenance! Thanks to its 3 settings, the CT 3000 quartz grill fits all cooking modes and snacks:</p><ul><li>The speed of rotation of the belt is regulated according to the product to cook or to reheat. The minimum time of pass through is 47 seconds. The maximum time of pass through is 2 minutes and 30 seconds.</li><li>The 2 quartz ramps can operate at full power or at half power</li><li>The pass through height can be adjusted between 70 and 110 mm thanks to the stainless reflectors to concentrate the temperature in the cooking chamber and reduce the cooking time.</li></ul><p>Very compact, this conveyor toaster is stackable and can be raised thanks to a stainless steel support table (475 x 360 x 300 mm). The control box can be offset on a wall or on a worktop thanks to 1-meter-long-cord.</p><p>The top roof keeps warm breads or pastries.</p><p>Every kind of snack cooking is possible with the CT 3000 B infrared conveyor toaster! Thanks to its different settings, the CT 3000 B infrared quartz grill allows you to vary and multiply cooking unattended. In a single pass, this conveyor toaster enables you:</p><ul><li>to toast buns, rolls in 50 seconds,</li><li>to cook pizzas or quiches (precooked and fresh garnish) in less than 2 minutes depending on the filling,</li><li>to brown onion soups, cheese-based snacks in 1 minute,</li><li>to cook toast, bruschetta, sandwiches in less than 2 minutes according to the ""topping"",</li><li>to melt fondues or warm up croissants, pastries in 50 seconds!</li></ul><p>The maintenance of the conveyor oven is very simple. The carpet is cleaned with a brush. The roof as well as the 2 sliding waste bins placed at the entrance and exit under the belt are completely removable.</p>",470,720,385,22 kg,3 kW,230V,300x370,Electric,Stainless steel,Variable,1050°C,Protection grids,Height adjustable,Optional table,Variable,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CT540,gid://shopify/Product/8646050939079,,510,710,460,20 kg,2.65 kW,230V,330x335,Electric,Stainless steel,Variable,1050°C,Protection grids,Dual exit,,300540/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CT540-B,gid://shopify/Product/8646050971847,"<p>The infrared conveyor toaster CT 540 B is indispensable for continuous use at breakfast! It is equipped with 2 ramps of 4 infrared quartz tubes that spread rays of 1050 &deg;C. It enables hotel guests to quickly and continuously toast or heat every kind of bread: 300 to 540 toasts per hour without preheating!</p>
<p>The quartz grill CT 540 B is extremely flexible in use and maintenance thanks to 2 independent settings:</p>
<ul>
<li>A switch selects the quartz ramps on top and bottom</li>
<li>The speed of the conveyor belt is regulated according to the product with a pass-through time between 47 seconds and 2 minutes 30 seconds</li>
</ul>
<p>Two exits are possible: the front exit for bread, brioche, and bagels, and the rear exit for heavier products such as farmhouse bread, pastries, and quiche. The top roof keeps items ready for use at the buffet. The unit is easy to clean with removable trays and a conveyor belt that can be cleaned with the supplied brush.</p>
<p>Features:</p>
<ul>
<li>2 ramps of 4 quartz tubes (1550 W top, 1450 W bottom)</li>
<li>Heating selector</li>
<li>Variable speed drive</li>
<li>Flexible stainless steel mesh conveyor belt</li>
<li>15 cm front and rear trays</li>
<li>Pilot lights</li>
<li>Ventilated motor</li>
<li>Adjustable feet</li>
</ul>",510,710,460,20 kg,2.65 kW,230V,330x335,Electric,Stainless steel,Variable,1050°C,Protection grids,Dual exit,,300540/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CW12,gid://shopify/Product/8645501321415,"<p>This electric chip scuttle is equipped with 2 independent heating sources selected by switch and regulated by thermostat (20-90 ° C):</p><ul><li>A ceramic heating block at the top</li><li>An armoured heating element under the container</li></ul><p>The cleaning of this electric chip scuttle is very easy. The residual oil is drained by a secure stainless steel tap. The curved drip tray is fully removable.</p><p>This modular chip scuttle can be installed on a work surface or mounted on the MS-RFG 12 stainless steel cabinet.</p><p>Features: switch for the selection of heating source, thermostat 20-90 ° C, ceramic heating block, armoured heating element, pilot lights, draining device.</p>",400,600,580,20 kg,0.85 kW,230V,,Electric,Stainless steel,Continuous,Variable,Thermostat,Ceramic heating,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-DOUBLE-PANINI-FT220V,gid://shopify/Product/8645499060423,"<p>The cast-iron contact-grill DOUBLE PANINI is particularly recommended for continuous daily use. It is designed for intensive use, capable of cooking 96 panini per hour. Its cast-iron plates offer high thermic inertia, restoring heat after 15 minutes of preheating for continuous daily operation.</p><p>The professional DOUBLE PANINI ensures homogeneous and varied cooking. It consists of 2 PANINI contact-grills integrated into a stainless steel enclosure with independent controls. High-conduction cast-iron plates and serpentine-shaped heating elements ensure even heat distribution across the entire cooking surface.</p><p>While specifically designed for high-quantity panini cooking, it is also suitable for toasting sandwiches or cooking steaks. The self-balancing top plates feature adjustable pressure springs to adapt to different foods. This model is also available with a smooth bottom plate for cooking omelettes, fried eggs, cakes, and wraps.</p><p>Features:</p><ul><li>commutator-thermostats 0-300 &deg;C</li><li>juice drawers</li><li>thermo-resistant and metallic handles</li><li>control lights</li><li>Comes with a scraper for easy cleaning</li></ul><p>Options:</p><ul><li>automatic adjustment of the cooking height</li><li>Individual top and bottom plates available in smooth and grooved versions</li></ul>",760,460,280,45 kg,6 kW,380V,360x240,Electric,Cast iron,Continuous,300°C,Thermostat,Double grid,Scraper,192 units/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-DOUBLE-PANINI-R-220V,gid://shopify/Product/8645508989127,"<p>The castiron contactgrill DOUBLE PANINI is particularly recommended for continuous daily use. The castiron contactgrill DOUBLE PANINI is designed for intensive use with the cooking of 96 panini per hour! Its castiron plates have a high power of thermic inertia: after 15 minutes of preheating, the plates restore heat and can be used continuously on a daily basis.</p><p>The professional contactgrill DOUBLE PANINI ensures homogeneous and varied cooking. The DOUBLE PANINI model is composed of 2 PANINI contactgrills integrated into a stainless steel enclosure with independent controls. The castiron plates with a high conduction value enable homogeneous cooking thanks to the serpentineshaped heating elements covering the whole cooking surface under each plate.</p><p>If this professional contactgrill is a double contactgrill specifically designed for panini cooking in large quantities by its size, it is also used to toast various sandwiches or to cook steaks. The top plates of this professional contactgrill are selfbalancing. Each pressure spring is adjustable to adapt cooking to food. This panini machine is also available with a smooth bottom plate for cooking omelettes, fried eggs, cakes, Swedish breads, blinis, wraps ...</p><p>Features:</p><ul><li>commutatorthermostats 0300 ° C</li><li>juice drawers</li><li>thermoresistant and metallic handles</li><li>control lights</li><li>Comes with a scraper for easy cleaning.</li></ul><p>Options:</p><ul><li>automatic adjustment of the cooking height</li><li>Individual top and bottom plates are available in smooth and grooved versions.</li></ul>",760,460,280,45 kg,6 kW,380V,360x240,Electric,Cast iron,Continuous,300°C,Thermostat,Double grid,Scraper,192 units/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-DPI300,gid://shopify/Product/8645501354183,"<p>Induction cooktop with stainless steel frame for snack concepts, takeaways and food-trucks. French and professional induction technology.</p><ul><li>Ultra-fast temperature rise.</li><li>Precise and instant regulation.</li><li>Non-stop use during 8h without any automatic switch off.</li><li>Sauté possibility at 30 - 40 mm high.</li><li>Efficiency &gt; 95 %.</li></ul><p>Control panel with capacitive keys:</p><ul><li>on/off, 20 power levels</li><li>ventilation</li><li>timer</li><li>sound timer and cut-off.</li></ul>",Pan,l 2,x98,2 kg,0.3 kW,230V,280x280,Electric,Vitroceramic,Continuous,Variable,Electronic control,Builtin,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-DW106,gid://shopify/Product/8645501419719,<p>Electric dish-warmers with specific alloy plates for a high temperature resistance.</p><ul><li>15 min of preheating for 45min of warm keeping.</li><li>Optimal heat retention.</li></ul><p>Features:</p><ul><li>thermostat</li><li>pilot light</li><li>heat-resistant handles.</li></ul>,400,215,335,16 kg,0.65 kW,230V,,Electric,Special alloy,45 min,Variable,Heat resistant handles,High retention,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-DW110,gid://shopify/Product/8642990244039,<p>Electric dish-warmers with specific alloy plates for a high temperature resistance.</p><ul><li>15 min of preheating for 45min of warm keeping.</li><li>Optimal heat retention.</li></ul><p>Features:</p><ul><li>thermostat</li><li>pilot light</li><li>heat-resistant handles.</li></ul>,400,215,475,23 kg,1.3 kW,230V,,Electric,Special alloy,45 min,Variable,Heat resistant handles,High retention,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-EP800,gid://shopify/Product/8645521539271,<p>Stainless steel proofer to make the dough rise in 2h at 29°C.</p><ul><li>Steam production automatically preset in time and quantity.</li><li>Solenoid valves for humidification.</li><li>Mounted on 4 castors with brake system.</li></ul><p>Features:</p><ul><li>switch on/off</li><li>electronic thermostat</li><li>pilot light</li><li>push-on knob for steam production</li><li>stainless steel water tray.</li></ul>,795,640,910,80 kg,1.4 kW,230V,,Electric,Stainless steel,2h,29°C,Electronic control,Steam injection,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FC110E,gid://shopify/Product/8646051004615,"<p>The right bakery oven to bake baguettes, breads, pastries, soufflés and also to cook savoury meals …</p><ul><li>Fast temperature rise: 300°C in 10 min.</li><li>Bakery function: ventilated heat + steam production preset in quatity and time. Reversible turbine every 2 minutes and 2-speed-motor:</li><ul><li>full power,</li><li>half power for soufflés, meringues, muffins etc.</li></ul><li>Defrost function through warm air brewing.</li><li>Multifunction oven (FC110 EG) with ventilated infrared salamander (1050°C) for various cooking (gratins, meat, fish etc.).</li></ul><p>Features:</p><ul><li>thermostat 0-300°C</li><li>turbine Ø 210 mm</li><li>bell timer 120 min with lock position for non-stop use</li><li>2 inside lamps</li><li>push-on knob for steam production</li><li>air cooling system</li><li>feet (H: 40 mm)</li><li>Delivered with no grid.</li></ul>",795,755,595,59 kg,6 kW,380V,,Electric,Stainless steel,Continuous,300°C,Double thermostat,Steam injection,Grids,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FC110EG,gid://shopify/Product/8646051037383,"<p>The right bakery oven to bake baguettes, breads, pastries, soufflés and also to cook savoury meals …</p><ul><li>Fast temperature rise: 300°C in 10 min.</li><li>Bakery function: ventilated heat + steam production preset in quatity and time. Reversible turbine every 2 minutes and 2-speed-motor:</li><ul><li>full power,</li><li>half power for soufflés, meringues, muffins etc.</li></ul><li>Defrost function through warm air brewing.</li><li>Multifunction oven (FC110 EG) with ventilated infrared salamander (1050°C) for various cooking (gratins, meat, fish etc.).</li></ul><p>Features:</p><ul><li>thermostat 0-300°C</li><li>turbine Ø 210 mm</li><li>bell timer 120 min with lock position for non-stop use</li><li>2 inside lamps</li><li>push-on knob for steam production</li><li>air cooling system</li><li>feet (H: 40 mm)</li><li>Delivered with no grid.</li></ul>",795,755,595,60 kg,6 kW,380V,,Electric,Stainless steel,Continuous,300°C,Double thermostat,Quartz + steam,Grids,,1 Year,1 Year,France,"CE, UL/NSF"
